imo,vessel_id
8116544,
8834158,
9714446,e14b3bacd-d434-d3bf-f736-42c4ea4f27d6
9383132,6776af16f-f812-4bcd-6134-d2f8a207ef61
9208978,cb67a1305-5788-b349-dec2-61d8a8be9569
7905170,
7529536,d9f4ab4da-a95d-7b19-79c6-8ba20fc4dd39
8012607,
7934597,
8012619,
8816742,56797171d-dc16-997d-5765-61029b1e0244
8880183,
8321280,
8741399,abbd86204-4fb6-2d68-a9da-2ce695a3a9ae
8816730,56797171d-dc16-997d-5765-61029b1e0244
5034604,
7645512,
9856579,d0b427119-93de-3db1-85aa-4fc558df890a
7021209,ca6e7f9e1-1941-3c57-d4dc-e1baec64418b
7407659,a572df388-884e-5bec-72ce-ae94e5a4e8f3
7338145,
9083653,0411a34e7-7f77-1514-986c-6b1b4574c2e6
9807994,
7358949,
8111099,c68d42b7e-ee4e-d7de-2c2e-9c327fcb67f3
8305054,
6807371,
7396587,
8804646,
9099121,
7826635,
8719243,fbad72dd3-394d-be61-4c30-73ae159828f6
9714458,ffcf70235-5fc4-2752-21ea-069c25a43edd
8116178,2bd2d62b9-9381-4531-00f9-8616f3a3308b
7338169,
8321292,
9118305,0b28b0d02-2295-d2f4-97a3-b3ac6effdc71
5428738,
8843496,
8411322,
7104350,
7053173,
7386790,
8600832,
7338133,
9276107,2e55bcc43-3752-eaac-0322-728e7ab24f14
8102907,da2d369f0-0272-a79c-e69e-05af904dad6a
7623241,
8011067,
7328023,
7605926,
7321996,
9228461,2b6efb9ec-c644-1377-4a67-1236c848f660
8209896,
7395600,
6818966,
7826623,
8708464,6eb0b555f-fa62-7cb1-4135-2d0eeb6b4baa
7618856,54423a274-4798-9a62-79f7-4c80605246ac
8515582,
5419414,
9243332,
8639900,
8134388,
9246815,b289909a3-3fe7-d20b-ff71-e0faae7cfbd1
8511043,
7529495,
7387500,d0e58b8b6-6c5d-c117-d258-c0a38bfdcff4
7128526,
9652143,f6a8e29fd-d825-729b-b773-18b7365a5a27
7338157,
7351472,
9030058,eec074f07-7362-703c-0835-d766b00ab707
8416047,
9030060,cdf68523a-a9e7-6f96-e6a3-96ed7e06362c
7053185,
7419028,
8138176,
8844012,
6914291,
8017762,62b0bee63-3b78-d5fd-0223-cbd401ae56f7
5226518,
8827662,
8827674,
8710819,d29f3a946-6ece-2c04-7c5f-43dcc3515707
9874868,bed660dba-a8c8-eaf9-192e-c67d3f1718a4
8843501,
7529483,
7362756,195b7e054-41d1-c843-726a-a6d5f30bfcc9
7387378,
8617421,7bfa4e72a-aa54-4aae-0aa6-145fc83a25bb
8402034,
7053197,
8324945,
8714889,
9039896,bf28c5a58-8c83-8690-8689-7f2d520f926e
7315492,
8702290,9a56266bd-dfae-28de-2060-8eb1a47be87f
8809957,62783fd16-67b5-8def-e29a-019b76705178
8819445,48635d7fa-a2ed-64b1-3f5a-d1f2751d2d6a
7827495,5379b78d5-5359-0d95-71ca-037b8ab51e40
8715663,
8606355,1ae1c3122-2015-1484-3e80-db7b58d19e20
8220541,
8733744,0509d85b9-9d47-7658-bdad-913f3dcdf8c8
7046352,
9144615,7ba9de49c-c1c5-9369-0319-ab0735c25f70
6129420,
8222422,92a4f2dc8-84d7-6867-855b-c9d24a02c34a
9728021,e45d88ccf-fb77-21d1-ce70-8af087a4126a
9728033,73cb54a8b-bfc1-d39a-31a8-c8436a0d78b6
8731813,f5d810a8d-d406-64e0-fc57-8f2edbc0894c
7110414,592cecb2f-f7ab-6a53-5369-63379972aebd
9003342,90ab31dfb-bcab-a05f-d12f-2544e1869205
7388293,
9034262,11ba3c5b8-840b-b200-2f86-4faed11d494b
7328035,
9423803,
8996190,e7adb83f4-4ab8-045e-34d4-120774ff7d37
8818099,8c68ba513-30d7-c76c-18c6-cbf70ffa17fb
7431442,
7118026,
9144627,ff3fedfa2-2ae4-0c7d-a4b4-b04d96f623e9
8832710,
8832734,
8921638,36d3cd4c0-0901-e0f8-4f7b-f8c0e630c60d
8896687,
8896699,ccc2fc00c-ce8f-7f5e-a693-6dd8941862f8
8104204,5a0265e78-8573-c0fd-9768-f8e1640eef87
8617433,
8619041,
8818087,833e0dfb5-52fe-cf51-e0e5-c52f024ebdac
9357341,119ab1161-16ad-059d-4f9d-91e474c7c525
