IMO,Status,Reason
9208978,Unknown,No vessel ID found
8834158,Unknown,No data available
9714446,Unknown,No vessel ID found
9383132,Unknown,No vessel ID found
8116544,Unknown,No data available
7529536,Unknown,No vessel ID found
7905170,Unknown,No data available
7934597,Unknown,No data available
8012607,Unknown,No data available
8012619,Unknown,No data available
8816742,Unknown,No vessel ID found
8816730,Unknown,No vessel ID found
8741399,Unknown,No vessel ID found
8880183,Unknown,No data available
8321280,Unknown,No data available
5034604,Unknown,No data available
9856579,Unknown,No vessel ID found
7645512,Unknown,No data available
7021209,Unknown,No vessel ID found
7407659,Unknown,No vessel ID found
9083653,Unknown,No vessel ID found
7338145,Unknown,No data available
9807994,Unknown,No data available
7358949,Unknown,No data available
8111099,Unknown,No vessel ID found
6807371,Unknown,No data available
8305054,Unknown,No data available
7396587,Unknown,No data available
8804646,Unknown,No data available
8719243,Unknown,No vessel ID found
9099121,Unknown,No data available
9714458,Unknown,No vessel ID found
7826635,Unknown,No data available
8116178,Unknown,No vessel ID found
9118305,Unknown,No vessel ID found
7338169,Unknown,No data available
8321292,Unknown,No data available
5428738,Unknown,No data available
8843496,Unknown,No data available
8411322,Unknown,No data available
7053173,Unknown,No data available
7104350,Unknown,No data available
7386790,Unknown,No data available
8600832,Unknown,No data available
9276107,Unknown,No vessel ID found
7338133,Unknown,No data available
8102907,Unknown,No vessel ID found
7623241,Unknown,No data available
8011067,Unknown,No data available
7328023,Unknown,No data available
7605926,Unknown,No data available
7321996,Unknown,No data available
9228461,Unknown,No vessel ID found
8209896,Unknown,No data available
7395600,Unknown,No data available
6818966,Unknown,No data available
8708464,Unknown,No vessel ID found
7618856,Unknown,No vessel ID found
7826623,Unknown,No data available
8515582,Unknown,No data available
5419414,Unknown,No data available
9246815,Unknown,No vessel ID found
9243332,Unknown,No data available
8511043,Unknown,No data available
8639900,Unknown,No data available
8134388,Unknown,No data available
7387500,Unknown,No vessel ID found
7529495,Unknown,No data available
9652143,Unknown,No vessel ID found
